;domain;date;name;serving_time;level;nutrition;allergens;tags;ingredient
0;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Ananas
1;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Sweet-Chili-Sauce
2;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Sojasauce
3;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Lauchzwiebel
4;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Zucchini
5;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Karotte
6;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Knoblauch
7;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Zwiebel
8;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Hähnchenbrustfilet
9;de;5/18;Asia-Hühnchen süß-sauer mit knackigem Gemüsemix und Ananas;30 bis 40 Minuten;einfach;Kalorien 681kcal, Fett 10.3g, Eiweiß 47.6g, Kohlenhydrate 93.1g;Gluten und Sojabohnen. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GEFLÜGEL', 'OHNE MILCHPRODUKTE'];Basmatireis
